plan_id,crop_id,total_weightage,cmpl_total_weightage,primary_output,block_area,weight_score,yield_per_acre,stage_0_weight,cmpl_stage_0_weight,stage_1_weight,cmpl_stage_1_weight,stage_2_weight,cmpl_stage_2_weight,stage_3_weight,cmpl_stage_3_weight,stage_4_weight,cmpl_stage_4_weight,stage_5_weight,cmpl_stage_5_weight,stage_6_weight,cmpl_stage_6_weight,stage_7_weight,cmpl_stage_7_weight,stage_8_weight,cmpl_stage_8_weight,stage_9_weight,cmpl_stage_9_weight,seed_type,est_yld_per_acre,range_from,range_to
1589,853,189.25,150.25,852,0.25,0.793923,3408,0,0,13.75,8.75,10,7.5,36.5,22.5,77,67,52,44.5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
2358,841,366.25,306.75,27000,1,0.837542,27000,0,0,11.25,6.25,15,12.5,66,56,191.5,174.5,82.5,57.5,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
3168,853,131.25,121.25,176,1.5,0.923809,117.3333333,0,0,8.75,8.75,7.5,7.5,27.5,27.5,50,45,37.5,32.5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
3091,892,790.25,384.75,863,0.5,0.486871,1726,0,0,11.25,6.25,16.5,10,130.5,98.5,470,220,162,50,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
1248,121,175.25,137.25,1000,0.25,0.783166,4000,0,0,4.75,4.75,17.5,15,38.5,22.5,39.5,20,75,75,0,0,0,0,0,0,0,0,Variety,13152.3,12140.59,14164.02
2314,871,175.75,160.75,4514,0.6,0.914651,7523.333333,0,0,11.25,6.25,12.5,10,142,137,0,0,10,7.5,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
45,812,207.25,57.75,1,5,0.278648,0.2,28,28,6.25,6.25,17.5,12.5,81.5,11,61.5,0,12.5,0,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
728,831,290.5,141.25,5398,0.75,0.48623,7197.333333,0,0,13.75,11.25,12.5,10,123,55,125,55,15,10,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2453,801,458.75,330.25,2600,1.5,0.719891,1733.333333,0,0,11.25,6.25,15,12.5,83.5,78.5,254,188,95,45,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
2962,888,282.5,186.75,4503,0.25,0.661061,18012,0,0,13.75,8.75,12.5,10,118,90,98,73,39,5,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1477,801,376.25,357.25,6896,2.25,0.949501,3064.888889,0,0,11.25,6.25,15,12.5,66,60,201.5,198.5,82.5,80,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1509,811,230.25,196.25,3500,0.5,0.852334,7000,0,0,11.25,6.25,12.5,10,100,86,74,64,32.5,30,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
3259,894,289.25,250.25,1655,1.5,0.865168,1103.333333,0,0,16.25,11.25,10,7.5,80.5,68.5,112.5,105.5,70,57.5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
2385,805,309.75,289.75,49,1,0.935431,49,0,0,13.75,8.75,10,7.5,71,66,192.5,187.5,22.5,20,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
1748,870,286.25,258.25,2577,1,0.902183,2577,0,0,11.25,6.25,12.5,10,60,52,64.5,64.5,138,125.5,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
2993,811,156.25,156.25,9559,0.5,1,19118,0,0,6.25,6.25,10,10,62.5,62.5,47.5,47.5,30,30,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
613,807,379.25,261.25,3629,1.5,0.688859,2419.333333,0,0,21.25,13.75,10,7.5,113,60,147.5,95,87.5,85,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
